text,category
7.3k dislike adichavanmaarod onne parayanollu......  OMKV,Negative
Feeling sad am studying in punjab ivde release aakuvo,Negative
1k dislikes Ella dislike pannikalkum endhe naduviral namskaram,Negative
Adhikam hype venda,Negative
Natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha,Negative
Koora padam,Negative
Ennalum ente Idivettu suguna ninne ithilu kandillalo,Negative
Lokal poyi Madhura raja teaser kanada,Negative
Kuru potti olikknna 1k poojappura fans,Negative
Kure per dislike adich kuru pottikkunnund,Negative
Dislike adechath alla punnara makkalum anta veral,Negative
Samyuktha vendayirunnu.   Aishu pwoli ann,Negative
Trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal,Negative
Dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu,Negative
Bro support koduthilenkilum dislike adikkathirunoode .,Negative
ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya,Negative
Pirates of carbien aarum kanditilananu mone ninte vicharam,Negative
Dislike cheyunavanoke ethu naarikal aanenavo.... Chathude...   Kidukachi trailer vanetum dislike 1.1k Kashtam preshakare...,Negative
Ee Padam Kolamavukayaanengil it will be because of Peter hein,Negative
Avalude name veykkunille avar lead cheyyunna film alle..,Negative
ee padam 8 nilayil podannamennju prarthikunnju,Negative
Ayye poraaa.... lalettan nu role ille??,Negative
Ee trailer vachaaanooo luciferinodu muttaan varunnath,Negative
Moood poyi mood poyi aa sabune kandappol mood poyi,Negative
Dislike adicha pullanmarude mugathulla adiyavatte oro likum,Negative
Police ill minimum  hight elle  Aju oke police,Negative
Dislike cheydha thendigalk releasin kaanich therum nangal endhan mamangam enn,Negative
Trailer kandappo oru karym manasilayi eni mammooka fans luciferine velluvilikkilla,Negative
Pokiri Raja nte athra odulaa ee chithram eniku thonunnu....,Negative
Trailor kand 8 nilayil pottum enn thonunnu mumbathe pole tholvigal vaari kootan thudangunnu,Negative
Dislike myrolikalk ulla kandam Madhurayil orukkiyittund enn parayan paranju....,Negative
Trailer erghunathinn munbb .kanathe dislike adichavanmaar verum verum..... Feeling pucham to u all,Negative
Thalachorilla budhiyum illatha 11k aalkkar . Ninte okke thalakku ooolamanooo,Negative
Looks like netflix series oru film aayi coloring Mach aavunnilla,Negative
Veruthayayi kashu poyi pratheeshyode arum pokaruthe,Negative
173k views and 173k likes bakki kore mammunni fans 18k,Negative
Mammookaye pole dailog eathu salgilum prasant cheyyan kazhiyillannu ippo eniku manasilaayi,Negative
Thrissur slang paliyenn thonnunnath enikk mathramano?,Negative
Lucifer trailer erangiya day million views vannapo sudappi makkal endho paranjarunnallo.ikkede trailer onnu vannottu ennu alle?ennittu bhayangara views ahnallo不不不,Negative
Padam pottum... Charithram akanamenkil marakkar varanam,Negative
Da mwone madhurajaedatreum varilla ketto .nte vaka ellarkum chukavandanam,Negative
Ikkakk..valla  mass padavum cheythude....ithorumaathiri senti...cop,Negative
pora,Negative
Koora Trailer jattimaanii padam pottum 100percent lalappaaaaa,Negative
Prithiraje than ee pani nirthiko enthon kopile padamado,Negative
Onnpodaaa challenge inne undo 1 hour 50 k likes annn  madhara rajj kalikann venda,Negative
Police ne kuttam parayuna,Negative
Dis like idunna mammuny fansukrude pratheka sradhkku.raajaye kaathu padakkathinte mahaniya shekram staginte baakil inddu sookshicha dukkkiknda,Negative
Dislike pottikkunnavarkk kurupottalaathi kodukkapedum,Negative
Ethu powlikkum maduraraja yum puliyum myrumonnumalla nammukke vendate immatiri items aane,Negative
Trailer erengunenu mumb 5.2k dislike adichavanmark ente naduviral namaskaram,Negative
Poojapura mohanan fans moonchi.,Negative
OVER HYPE KODUTH EE OOLA PADATINU VENDI TALLIYA ELLA OOMBANMARAYA LALAPPAN FANSINTE KARANAKUTTIK NOKI ONN POTTIKAN TONUNNAVAR LIKE EDUKA,Negative
Enna njan oru kaaryam parayatte..ee padam pottum....odiyan avashtha aavum..mark my words,Negative
2.7k unlike adicha pengalepanni makkalkku ente naduviral namaskaram,Negative
Ethinokke dislike adikkunnavar aan malayala cinimayuday shapam,Negative
within 3hrs- 212k views,Negative
Atom bomb,Negative
Ith  arabikkadalinte simhamalla Hippo Pottamaas.Kunjali marakkare Baahubali dressokke itt priyadarshan abhamanikkunnu.Cashing vendi charithrathe Valachodikkunnu.,Negative
Kashtapettu Unlike cheyyunnavar aaruda fans ennathinu samsayamilla  iniyatra unlike adichalum avarkariyam Padam records bedikumennu,Negative
Manju..ival ithilum ondooo naasham..apo ee padavum njjn kaanunnilaa,Negative
dislike adicha 9.5 k dislikeolikalkkulla adi kodukkanulla nool,Negative
aaahaaaa negative comment aayi kure pannikal vannallllloooo,Negative
Trailer nte pokku kandattu valya pratheeksha illa..    nammade george ettans pole,Negative
Itrayum nalla Padam ee oola channelil enthinna ittee,Negative
E trailornu unlike adicha ella oolakalkum,Negative
Eee padam ettu nilayil moonchum,Negative
Trailer kandal ariyam nalla oombiya padam aanunn,Negative
enthu myru dailogado ikkayude ketitile athu pole para mo e.,Negative
Nannayi onnu poliyunna lakshnm unde...Thrill maintain cheyan ayillenkil,Negative
Njan oru Lalettan Fana Ennalum Enikk Teaser Ishtappettilla,Negative
Banal trash. Panavum nashtam samayavum nashtam.,Negative
Dislike adichavarode enik parayanullathe ikka uryir,Negative
poraa pratheeksha illa.. Tovi voice rendering sradhichitilla..... camera,Negative
Diriection mosamanu ennoru thonnal.. oru feel varunnilla,Negative
Pottum aenne urappayi .... Inne aethra nilayil pottum aennum koodi nokkiya mathi....,Negative
Vishakinte page allade vere onnum kityille subcribe cheyyann...38 k ane adil agge illed...minimum 500 k..vews ille subcribr kitenamayirunnu....,Negative
Oompitharam alle mr. Producer.,Negative
2300 dislikes trailer kanathe oohikalloo arokeyayirikumennu,Negative
Dislike adichirikanadu lalappan tenddikalairikum kolani valangal fuuu,Negative
Ithilum nallath pulimurugan trailer onnoode kanunnath aayirunnu,Negative
Dislike alla lappantta makkalum anta nadu veral,Negative
Ethra Alinja oru padam Mr mammotty nirthi poekode do,Negative
Trailer Iranghum munbe lalappans Dislike Adikkunnath Kando . Ithil ninnum Manassilakkam Rajaye Lalappans Pedikkunnu Ennu,Negative
Madhura raja kurach adikam viyarkum ... Thayoli fans inu dislike adikane pattu...,Negative
paandi raaja .Annan thanbi.pandi padam nirthi Lucifer movie  pole maaran sramik,Negative
Padam mosham akanamennu agrahichittavum padam trailer eraghum mumbe,Negative
Dislike adichavarkk ente vaka naduviral namskaaram,Negative
Dislike adichavar mamooty fans ayatinal onnum parayanilla. Raja 3 strong adaaa. Ijjati mammunniss,Negative
Ee padathinte Peru pole thannavum mikkavaarum padathinte avastha,Negative
Kanda chaavali raja pole alla... kidilan,Negative
Annalum sunny chechiye randu shotl othukkiyallo.. kashtam tanne muthalali,Negative
Trailer varunathinu mumbu Dislike adichavarku enta vaga,Negative
Usmanee.... Mmmuk eenthapaya kachavadam matti bala kachavadam tudangam.. Evdoo kettapole,Negative
Padathinte peru sheriyalla yenth unda oru veraity vende perinu.,Negative
Dislike adicha....... Kal poyi 1080 p itte kaanada naayikkale,Negative
Enthonn trailer urakkam varunnu ellaarum nalla kidilam ennu paranju kandu nokkiyadhaa oru rasavumill A  maalapadakkam,Negative
Dialogue presentation valare mosham padam moonjaali markkaar akumo,Negative
Loocheeperinte kalem ethi mekkale ellarun meri nikk,Negative
6k dislikes.. Guhan fans Karanju Mezhukal aanallo,Negative
Kurupuutivarunavrde anakil kodtha keechan trailer ikkaaa Uff ingal eeejathi mass  FDFs urappachuu singasa Thalivaa....MaduraRaja #RajaEffect #RIP YouTube Thukkiaydii,Negative
Mammooty fansavm dislike adiche Poi madhurajak adikadaa Etu vere levela mone dineshaa,Negative
Patti vananagal okke dislike adichu thudangi ...,Negative
Dislike  Adicha Mammookka Fans  Njagade #ettante varav KaneKulirke Kandota...........................,Negative
Sreekumara menone naari nee ithonnu kaanu,Negative
Ithenthu killichundan mambazhama.... ithokke namude raju ettanu koduthal pollichadukiyene..,Negative
Padam poliyum ennu urappayi. Rajadhi Raja enna thara padam pole.,Negative
teaser erakune munbe 1.4 dislike..  enthina enn manasilayaila...,Negative
odiyan thulapichu myran V A Sree kumar kopan poda,Negative
Eanth oola trailer korch kanji eadukkattee,Negative
Laletta nalla cinemaye language loode illathakkalle njangalkku sada language mathi,Negative
real fansinu kuru potti tudangi 1.4k dislikes,Negative
Endhokke aayirunnu malapuram kathi.kozhikode aluva,Negative
Report adikkunna lallunnikalle pokkooo vella panni eduth jeebikkedaaa,Negative
Athu ___ Makkladaa ee jathi iteamsoka dislike cheyyunaaa.... Raju vs Lalu...,Negative
Erangana mumb 285 dislike ejjayi mayrol,Negative
Padam verum oru below average Lucifer like oombiya Padam aakum enn orappullavr c'man!!!!,Negative
Dislike adichavarkk enthe naduviral namskaram,Negative
2.7 k dislikes irangunnadinu munne thanne vannalloooo,Negative
Pirates of the Caribbean .. Peru maati ettal aalkar chilappol like adikkum..  Aale pattikkan eniyum engane nalla nalla teasers pratheekshikkunnu.,Negative
vere vella panikk poda..nayinte mone....thantha kelava...lalettante myr nakkan polum anne kond pattillada pooraaaa...,Negative
Dislike cheyyan kore ennam irangiyittund...,Negative
Ee haters vann dislike adichalum 240k like und makkale..,Negative
Engane unlike cheyyan thonnanu....ee kanikkunath Kerala police nte motham avasta aanu .....,Negative
Dislike adicheverk oke ente vaka Nadu virel  pranamem,Negative
Ee padathien ethra Kali aaiiyalum mammuni enn parayunna nadante oru padathinum ithinte collection record thakarkan pattitila...nthin pakuthi polum ilaaa,Negative
Idoru unddaaa padam thanne avum,Negative
Chettatharam kanich... App upayogich dislike adichavarod,Negative
I am bangali double kundi mohannlal,Negative
Dislike adikkan thanthaku munp undayavanmar vannallo,Negative
Njan idehathinte padam kaannilla,Negative
ethinu okkae dislikes adicha Prajanda kunju ghalae nighalkku uluppundo.,Negative
Ethenna pottan kaliyo idhano big budget cenimede dialoge,Negative
Poli trailer Dislike motham mohanlal fans ayirikkum,Negative
Ithano trailer oru dialogue polum illa ekkaude. Ullath kurach perum oru vettum,Negative
release polum akata 1.9k dislike adum kanata pokaruth ..  aa valya manass,Negative
Puli ooodu kandam vazhi ooodan paray ipozhe,Negative
Ithinokke dislike adichavanmare okk adichu kollanamm ettan uyirr,Negative
Potta padam 2million views polum illatha ee oola padam potti paaleesavum.  Antony perumbaavoor kuthuvaala Edukentiverum. {not an ikka fan},Negative
Daivam oroon kond varum... Ennit pottipoliyum... Verute collection kittan vendiii advertisement,Negative
Anthamaaya thaara aaradana aaswadana nilavara thakarchayude soochanayanu. Cinemaye swathanthravum kalaaparavumayi veekshikunna oru yuva janathayeyanu malayala cinemak aavashyam,Negative
Padma innaanu kande,Negative
6.4k dislike ... Ijjathii rodhanam annaloo ....,Negative
Dae Ajithaaa copy adikathada Mohan Lal,Negative
Gilla plus loham plus ramaleelaa...naariya kopi adiii,Negative
Official trailer release aakunnathinu mumbe dislike adikkan kure mammunni fans oolakal..,Negative
ippo mansilai e padam 8 nilayil pottum,Negative
29K Dislike adichavar Padam kandu kaanum lo... Oro Dhurendhangal...,Negative
Alinje polinja trailer.. odiyan aakumo ??,Negative
Dialogue pora msmmookka paranjaal onnoode ushaaraayene,Negative
6.3 dislike veru verupp athanne karanam,Negative
Haters pani thodangind makkale.....sahikunnilla avrkithe kanditte..,Negative
Yedaa Mamooty poora,Negative
Madhuraraja teasor kandu nalla katta bore ayittu undu. Mammukka ethavana yum Vishnu Unnikrishnan tae boxoffice records vettikkum ennu thonunilla.,Negative
Unlike adicha mammunni fansinu irikkatte oru kuthirapavan,Negative
Family entertainer? Family kk kanan pattatha movie full inner meaning,Negative
Madhurarajakku madhuram theereyundakilla bhayankara kaypayirikkum njan panthayam vekkam,Negative
Oh iyalude Ela padavum iyalu jailil kidana anubavavumayi copy Anu Nala pila anu enu kqnikan akum.,Negative
Trailer ethanennu mumbu thanne kore peru dislike adichatind Ivanmaaroke aanu e naadinu shapam champu naarikalu,Negative
Iyaalkkokke cinema nirthi DQ nte makkale nokki veettil irunnoode..?,Negative
6.1k mamunni fans ithe kandu ennu aa dislike button kandapol manasilayi,Negative
dayav cheyth pretham 3 irakkaruth plzzz athrank unda padamaayirnn pretham 2,Negative
To be very frank,Negative
Dislike adikan mtram Kure per nokiyiriunna polund,Negative
Oru pandi padathinte trailer innu irangiyitundu...kandavar onnu parayane..avide ellaam thribilaa,Negative
Dislike adichavar ettavum valiya oolakal...... bldy idiots...,Negative
Eth vetavalliyanmara dislike adiche..,Negative
Kanunnathinu munpe dislukke like adichaa ellaa malavangalkkum ente naduviral namaskaram,Negative
Ithu enthanu kilichundan mambazhamb 2 parto..hihi comedy padamanennu thonunnu,Negative
ith oru oola padam aayirikum enn manass parayunu,Negative
Eathu nayinte makkal avao dislike adiche,Negative
Dislike um kurayunnu..23k ninnu 13k aayi...appo ee chettatharam kanichathu aaru ennu parayendelloo,Negative
Music chila sthalangalil alambayi ....dialogue perfection kittunnilla,Negative
Dislike full odiyan kanji fans,Negative
Class trailer,Negative
Hacking likes um Views um koottan nokiyitt moonjipoya mammootti fans evdede.. Oru Maryadhayoke Vendedey,Negative
Laalinu pakaram vere oru nadan akamayirunnu lal ithepole orupadu   cheyithittundu,Negative
Surajettante voice oru podik koodi aged avannu,Negative
Rashtriyam,Negative
Kanji fans dis like adichu thakarkkunnudu,Negative
Trailer kandathode padathinu oru theerumaanayi chali padam,Negative
Tovino machane fight scene poratto... eniyum valaraan undu,Negative
Lucifer ini kandam vayi odedi varum,Negative
Thalli thalli kure ayallo oru padamenkilum vijayippichu kanikku kidannu thalli marikkathe,Negative
Dileepettan muthanu ningal lalettan fansanenkil nallathu paranjo kazhapamilla athinu dileepettan undakandataaa,Negative
Trailer idunnathin munb thanne dislike adicha mahaan maark ente oru naduviral namaskaaram,Negative
Ee role mammookkak aahnnu cherunathu anu arinja...lalettan fans right now kurupottikal....,Negative
Waste trailer,Negative
dislike adikkunna ella myrenmaarrum poyi oomb,Negative
Ethe enthu vaa dae ethe? athinu kai addikaan kore fans oolagalum.,Negative
Thandhayilaathavarum palathandhaku piranavanmaarum aayaa lalettan fanss fislike adikaann kore preyaasapedunundd abarariyunilaa malayala cinemayude shaapam aann lalettan fans en,Negative
Oru ghum illaa,Negative
Laluni fanskar thudangi dislike adikkan avarkku ente vaka,Negative
3. 5 k dislike nalla kuru pottal anallo chorichil maraan wyt cheyee december 14 vere ellavarudeyum chorichill maati theraaam,Negative
Manju varrier mathrame ulluvo actresss ayi kollilla,Negative
Enthuaadeee uploaded cheyunnathinu mump 6k dislike  ivanmarkku okke entha presnam,Negative
Mammunniyude unda pottum ennulavar like adi,Negative
Video kandutheran samayam aayilla athinu munne malaranmar dislike adikan thudangi,Negative
Dialougue okke LKG piller parayunna poleyund,Negative
Trailler pora padam 8 nela pottum ane tonunee,Negative
Un like Adaichavarkk Nadu viral namaskkaram,Negative
Kashtam 27k pottanmaaru ee keralathil indello daivame... Dislike kandille.,Negative
Ennalum ithrem kashttappettu dislike adikkunnadhu enthinanavo,Negative
1:10 ee scene onnum cinemayil illa.... Pattich,Negative
Odiyante triler leak cheyyum ennu parayunnavarod.....ayyappante photo veettil undenkilum swamiye kanan ellavarum malaykku thanne pokum,Negative
Manju warrier enthu koppe undakan irikuva,Negative
Dislike adukunna pooo maklkekk anta veral gift,Negative
Mammuni thendikal ethra dislikes adichalum Raja 8 nilayil pottum,Negative
Koothara mass padam.. oru simbha touch,Negative
Haters vayi panjoo raja stronga double strongalle triple strong,Negative
Ith kerala kkaraye ilakki marikkan irangunna padam...Ini theatre poorapparamb aavunnath kanich tharam..nee kandathonnumalla kettoda..,Negative
Bgm poaRaaa.... Goapi aanel maanthittaanelum Bgm GoosebumpS aakkum,Negative
Mohanlal=manju Manju=mohanlal  #manju kanji kodukendi verumo??  Lalletta aduttha filmilengilum nadiye mattane plzzz.. Illengil kanji orappa!,Negative
Asooyamootha laalunnikal kuthiyirunnu dislike adikkunnu .poy chaavinadaa,Negative
Luciferinte athrayum eatthilla ninte vatturaja pinna sunny chechie ullathu kondu kaanaaaam,Negative
daivame chadichooo copy sundaran analloooo  ini enthellaam kaananam,Negative
Dislike adicha makkale okke onn kaanendi varum,Negative
V A sree kumar is indian film joker in malayalam industry fool poda sree kumari myre poyi chavada vatta,Negative
Trailer releasin munpe vann dislike adich pokunna kure vaanangal...  antha bayam irkattum...,Negative
Nala movie aayirunu..ottum flexible alaatha lalettann edhin onum patilaa..meesha pirii role thanaal ok,Negative
2.k dislikes. Nthonadey nallathine nallath enn parayanam. Kayakulam kochuniye kall Kollam,Negative
vishuvinu     padakkam kittathe  iriikayirunnu... ikkayudepadakkam vannappo santhoshaaayi,Negative
Dislike adikunavanmaruda oru thandakku vili varavu vechakke,Negative
eda rithwik nine njan theriparjilaloo ennitt ninte samkkaram kanichuvale f fff .valarthu dhosham nint ppp,Negative
Ithinidakk 2 pearum dislike paniyum kashttam,Negative
Ethokke aranavo unlike adikkuneeee.. .Aaaa Freak pennu song like adichavar analley,Negative
Dislike adikkunna aalukal nthayalum nalla thanthakk pirannavaralla...angane ulla shikandikalkk ente naduviral pranamam,Negative
Lalettande Innathe level kande asooyade kuru pottiyavammarde 5.1K dislike,Negative
Dislike cheyunavare odiyan urumbu kadikunathu ayrikum .,Negative
Mammottykku  mathram oru Nalla padavum illa,Negative
Ethinu unlike adicha haters movie release akumbooo kandam vazi odan rediyayikkkooooooo....ettan fan....,Negative
ingerum verum myran aan padukilavan mammooty myran,Negative
ithenthonna ithra valiya traileronnuallallo....oru saada chalikal neracha ippo adhikavum kand varunna type trailer,Negative
Unlike itta ororutharkum Ulla adiyakatte ivde idunna like nu,Negative
Ithrayadhikam dislikes...... really ashaming... vallathoru manass,Negative
Dislike adicha Ella achanillathavarkkum nadu viral pranamam,Negative
Trailer crisp akaamayirunnu..too much aayi poyi..,Negative
27k dis like athinu mathram enthu kuravanu ningal ea teasaril kandathu,Negative
Itinum dislike adikkan aalundallo...nallatine angeegarikkan padikk... duranthangal...,Negative
Salimkumar comedy verupikkum enna kariyathil urappayyi,Negative
As 15k dislike itavarod aranenokke mansilayi oru choddyam       Nanam undo,Negative
Ithinu dis like adichavarude manasika nila thettiyirikkuva.. Trailer kidilan Oru rekshayum illa,Negative
Endokke ayerunnu.... Lag padam... Monee shree,Negative
Dislike adicha mahanmare cinema erangumbo kananam,Negative
...trailer upload avunathinu munbe thane 3k+ dislike ayiii....Ntha cheyale rodhanam,Negative
Twist enthaanenn trailer kandappol thanne manassilaayi,Negative
Dis like adikkan kure myranmar vannolum,Negative
Ithu kaanumbo aanau triple strong okke edthu kinattil idaan thonnane.....Lucifer,Negative
Title il Suraj ettante peru vekkaathath moshaayipoyi..,Negative
26K malaghamar dislike adichirikkunnu....Sahikkanjittanu vere onnumalla.....kashtam....dhaivathinte sontham nadu,Negative
Ikkas padakkam number 04 of 2018 loading,Negative
Mohan Lal ayirunnenkil super ayene ..ithu chapli ayi poyi...,Negative
Mohanlal fans nte oru gadikedu Ithokke theater el poyi kaanaade,Negative
Social media vazhi paranju perippichu raju. .,Negative
Dislike adichavan maarude nenjathu irikkatte ente like THENDIKAL,Negative
irangunne munne dislike adikkunna thanthakku munne undaaya makkalku midile Finger,Negative
oola mammootty ku pattilla ithu cheyyan,Negative
Muttamariyans Mammunni Myra raja team omkv,Negative
Oooo Odiyan,Negative
Nalla oombiya trailer.. Mammootty kilavane kayaril ketti pokkunnathu kanan ente patti pokum...,Negative
Thalkalam dq um rajum nivinum okay padanjarottu thirinjirinno,Negative
Koora padam urappa kandal aryam.. Hello,Negative
Voice kollillaaaa..... Charithra cinemal ingalk pattilaaaa... .....,Negative
Copy full pulimurugan kanuna pole unde,Negative
Trailerinu munb 7k dislike adichavanmarku ulupundoda,Negative
Aanoruthan thokkum pidich irangiya neerali alla Avante appan vare padikkum...alla pinne..ikka fans hit like,Negative
Video edathe dislike adikkan nanam illeaaaa ninkokkeee,Negative
Ini ore vijayiyum keralathil vanne negalikkan padilla,Negative
Dislike pooranmar neeti oru oombu vecho,Negative
Ith dislike cheytha 12k aalkar aaranenu parayandallo,Negative
enii orikalum nii oru film um direct cheyalle poda V ASree kumari,Negative
pls 1nu movie kanu chirikkathaver chirikkum  pattuna pani nokkuva ea70 vazhzsil pls prayathe bhamanikkunu,Negative
Sho.... Naatil vechu padam kaanan pattilla ennu orkumbol....,Negative
NALLA KIDUKACHI TRAILER  Haters dislike adikan odi vannallo,Negative
Unlike adichengilum mammookaye tholpikkumenn paranj kond pramukha  fans,Negative
Pwolimpadam,Negative
Illa kaaryam mugath nokki parayum... nammakaarum bakshanam kond vannu  eetil ethikanonnula... praayamaaya veetil irikanam allathe pattatha valli thoogaruth..,Negative
Mammukka verum vishayam engneru eth enthonn chyuvanentho prayam koodum thorum glamour koodunundallo daivame,Negative
ikkante eazhrikath varilla ikkante varunnu kunjali marakkar  WAITING IKKA POLIKKUM,Negative
enthu oola trailer aanu ithu. poor dialogue delivery,Negative
Thelunku nadan ..bhaala krishnayeyum... Thal nadan vijaya kaandhineyum ..naanipichu...mammuunny...,Negative
Swondham appane kandal adikunnavanmara ithinoke dislike adikunne. Adichondu avide irikathe ullu. Ivide ettanm pillerum stronga dbl strong,Negative
E polippan trailerinokke dislike adichathu ethu keedangallannavo... kuru pottal ippazhe thundangi....,Negative
Coppy ful Best actor polinhju kuthupala Edukkum,Negative
Unda enna perittappo parihasicha priyadarshanu kod urundaa,Negative
oru charithra cinimakku venda 3 kariyangal illa,Negative
Pooram kaanathe dislike adichavarkk  #naduviral pranaamam,Negative
Aarada dislike adikkane ethil entha kuzhappam,Negative
Ith polikkum kanditt oru atom bombin vakayundd,Negative
Fanism baadhicha Kore malaranmaar dislike adikkunnu...,Negative
Ithu korre pullimurugan koppi adichathanalo swalpam ullupu undo  Ennalum njn Kannan pokkum Karanam ente RS 100 kedakkate padathinu,Negative
Ee cbse mammunji pellare etra muttiyalum goven ment schollela pellaruda adute atella,Negative
Dislike chydha appa illaathavanmmaar bloody fools,Negative
Live nalathupoleee umbichuuu koray net kalanjuuui,Negative
Comedy cheyan Oru prethaka kazhivu vennam athu surajinu ilaaa. Full chali aytaanu thonnanee,Negative
Kollam. Short film polend. Vere vallo panikkm po man,Negative
